,Lat,Temp,Humidity,Cloudiness,Windspeed
0,-38.31,20.81,75,88,3.31
1,15.34,17.0,51,0,2.6
2,15.46,9.16,50,0,2.71
3,-53.16,13.0,66,75,3.6
4,51.38,-10.0,85,90,4.0
5,1.91,17.01,78,0,1.31
6,39.95,-1.33,80,90,3.6
7,25.02,10.91,100,0,3.46
8,-23.58,33.96,40,0,5.11
9,-36.62,21.61,38,92,4.21
10,8.96,0.01,63,0,1.26
11,19.55,23.0,88,20,2.6
12,58.99,-5.94,92,48,3.46
13,-33.64,21.61,89,0,5.81
14,22.08,26.47,62,1,5.1
15,-26.98,26.76,79,0,2.16
16,73.51,-12.09,100,76,8.41
17,-33.59,19.16,98,0,1.96
18,41.94,-4.89,74,36,1.01
19,31.35,10.0,46,40,6.7
20,41.12,-3.9,80,1,1.76
21,-34.61,13.41,78,80,1.51
22,-34.53,18.0,77,88,1.5
23,-54.81,11.0,76,75,2.6
24,-17.73,27.06,100,92,5.31
25,47.59,1.99,93,0,2.6
26,65.95,-49.19,0,0,1.21
27,36.42,-6.54,76,0,1.06
28,-33.21,36.96,41,36,2.96
29,68.75,-34.19,49,24,2.21
30,-42.78,24.0,57,0,7.2
31,3.07,28.56,100,80,6.36
32,-23.12,27.01,97,92,4.81
33,-42.88,24.0,57,0,7.2
34,17.54,26.71,55,0,0.76
35,-19.06,31.0,62,40,5.7
36,39.31,-3.49,68,1,2.1
37,-23.7,40.0,11,0,2.1
38,20.2,3.56,43,0,1.81
39,41.42,-3.84,90,56,1.51
40,60.14,-1.59,97,92,5.61
41,-30.6,14.21,88,0,1.36
42,24.57,7.0,87,0,3.6
43,47.66,-4.0,79,90,3.6
44,14.9,22.06,99,0,6.56
45,-41.87,11.0,81,24,2.1
46,31.87,7.36,94,56,5.81
47,39.28,-2.0,79,75,0.5
48,47.93,-8.88,92,90,1.5
49,42.65,-7.83,64,75,1.5
50,-20.63,20.76,80,56,1.91
51,59.08,-17.69,73,36,0.96
52,16.86,28.0,74,20,4.1
53,-29.95,16.0,82,0,2.6
54,-33.93,16.0,82,0,1.0
55,-20.22,21.0,64,40,4.1
56,65.58,-2.19,96,92,10.86
57,-22.97,25.26,84,8,7.91
58,39.45,3.14,87,75,1.41
59,-34.0,16.76,94,0,3.01
60,45.36,-11.63,66,90,4.6
61,35.73,6.47,100,90,1.0
62,-46.19,19.56,66,0,3.61
63,50.63,-12.04,86,88,4.36
64,22.57,20.41,100,0,2.61
65,8.04,23.26,87,0,2.36
66,65.28,-24.0,69,20,3.1
67,-0.74,24.86,100,88,2.51
68,-3.31,28.81,100,36,3.71
69,42.22,-6.75,74,8,2.6
70,70.62,-33.09,44,56,1.41
71,-42.48,11.0,81,20,2.1
72,62.23,5.0,75,48,13.4
73,44.23,-8.6,73,90,2.1
74,58.84,-29.09,56,12,1.56
75,-1.95,22.0,100,20,1.5
76,41.31,3.57,100,48,1.5
77,-32.03,23.96,98,80,1.86
78,-21.64,26.51,95,0,7.91
79,63.32,-3.69,87,76,2.56
80,-16.5,6.0,87,75,2.1
81,55.1,-4.0,85,90,10.3
